college_code,Institute Name,Institute Address,Region,District,Status,Autonomy Status,Minority Status
02254,"Vilasrao Deshmukh Foundation Group of Institutions, Latur","Additional MIDC Area, Plot 165A, Near to Manjara Sugar, Latur",Aurangabad,Latur,Un-Aided,Non-Autonomous,Non-Minority
02282,"Aditya Education Trust's Mitthulalji Sarada Polytechnic, Nalwandi Road, Beed","Sr. No. 123, Bahirwadi, Nalwandi Road, Beed",Aurangabad,Beed,Un-Aided,Non-Autonomous,Non-Minority
02508,GRAMIN TECHNICAL AND MANAGEMENT CAMPUS NANDED.,"Vishnupuri,Naiknagar, Nanded , 431606",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority
02516,International Centre Of Excellence In Engineering  and Management (ICEEM),"Gut No.4,Opp.Bajaj Auto ltd. Infront of MIDC filtration plant,Aurangabad-Pune High way",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02522,"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.","Gat No. 23, Kolpa Tq & Dist. Latur",Aurangabad,Latur,Un-Aided,Non-Autonomous,Non-Minority
02533,"CSMSS Chh. Shahu College of Engineering, Aurangabad","Kanchanwadi, Paithan Road, Aurangabad.",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02637,"Jijau Institute of Engineering Technology and Management, Khandgaon (Bendri), Taluka Naigaon, District Nanded","Khandgaon (Bendri), Taluka Naigaon, District Nanded",Aurangabad,Nanded,Un-Aided,Non-Autonomous,Non-Minority
02641,Dr. V.K. Patil College of Engineering & Technology,"N. H. - 52, Aurangabad Road, Gadpati, Osmanabad",Aurangabad,Dharashiv,Un-Aided,Non-Autonomous,Non-Minority
02666,Mangaldeep College of Engineering,"Gut No. 229, Beed Road, Nipani, Chh.Sambhaji Nagar",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
02758,Sant Eknath College of Engineering,"Nipani-Bhalgaon, Beed Highway Road,  Bhalgaon, Chh. Sambhaji Nagar",Aurangabad,Chhatrapati Sambhajinagar,Un-Aided,Non-Autonomous,Non-Minority
03012,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai","H.R. Mahajani Marg, Matunga, Mumbai",Mumbai,Mumbai City,Government-Aided,Autonomous,Non-Minority
03014,"Sardar Patel College of Engineering, Andheri","Munshi Nagar, Andheri (West),  Mumbai - Suburban ,Mumbai",Mumbai,Mumbai Suburban,Government-Aided,Autonomous,Non-Minority
03025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,"N.R.G. Gadkari Marg, Mumbai , 400056",Mumbai,Mumbai City,Government-Aided,Autonomous,Linguistic Minority - Gujarathi
03033,"Dr. Babasaheb Ambedkar Technological University, Lonere","Vidyavihar, P.O. Lonere, Ta-Mangaon Dist. Raigad",Mumbai,Raigad,University,Non-Autonomous,Non-Minority
03035,"Usha Mittal Institute of Technology SNDT  Women's University, Mumbai","SNDT  Women's University, Mumbai Juhu Campus, Santacruz (W), Mumbai",Mumbai,Mumbai Suburban,University Managed (Un-Aided),Non-Autonomous,Non-Minority
03036,"Institute of Chemical Technology, Matunga, Mumbai","Nathalal Parikh Marg, Matunga, Mumbai",Mumbai,Mumbai City,Deemed University,Autonomous,Non-Minority
03042,"Loknete Shamrao Peje Government College of Engineering, Ratnagiri","Government Polytechnic Campus, Near Thiba Palace, Ratnagiri",Mumbai,Ratnagiri,Government,Non-Autonomous,Non-Minority
03135,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai","Off. Juhu Versova Link Road, Versova, Andheri(W) Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Non-Minority
03139,"Vidyalankar Institute of Technology,Wadala, Mumbai","Vidyalankar Educational Campus,Vidyalankar College Marg, Wadala(E), Mumbai",Mumbai,Mumbai City,Un-Aided,Autonomous,Non-Minority
03143,"Thakur Shyamnarayan Engineering College, Mumbai","Thakur Complex, West To Western Express Highway Kandivali East, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
03146,"Jawahar Education Society's Annasaheb Chudaman Patil College of Engineering,Kharghar, Navi Mumbai","Sector 4,Ploat No-17,Kharghar, Navi Mumbai. Dist. Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03147,"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat","Near Bhiv puri Road Railway statiion Chandai ,Tal Karjat, Dist Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai","Vaman Tukaram Patil Marg, Chembur, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Gujarathi(Jain)
03154,"Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi Mumbai","Plot No 46/46 A, Sector 5 Near MSEB Sub Station Kharghar Navi Mumbai  Dist. Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03175,"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai","At Junction of NH4 & Sion-Panvel Expressway,  Kamothe, Navi Mumbai",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03176,"Thakur College of Engineering and Technology, Kandivali, Mumbai","Thakur Shyamnarayan Marg,Thakur Village,Kandivali(E), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Hindi
03182,"Thadomal Shahani Engineering College, Bandra, Mumbai","37th Road, Off Linking Road, (Near National), Bandra (West), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi
03183,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai","8, M.H.Saboo Siddik Polytechnic Road, P.O.Box: 4627, Byculla ,Mumbai",Mumbai,Mumbai City,Un-Aided,Non-Autonomous,Religious Minority - Muslim
03184,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai","Father Agnel Ashram , Band-stand, Bandra (West), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Religious Minority - Christian
03185,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai","Hashu Advani Memorial Complex, Behind Collector Colony, R.C. Marg, Chembur, Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Sindhi
03187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai","P.B. No. 15, CIDCO Colony, Plot No. 98, Sector 3,  Airoli, Navi Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai","Padmabhushan Vasantdada Patil Education Complex, Eastern Express Highway, Near Everard Nagar,  Sion-Chunabhatti Mumbai",Mumbai,Mumbai City,Un-Aided,Non-Autonomous,Non-Minority
03189,"Bharati Vidyapeeth College of Engineering,  Navi Mumbai","Sector - 7,CBD- Belpur, Navi Mumbai 400614",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03190,"Terna Engineering College, Nerul, Navi Mumbai","Plot No. 12, Sector-22,Opp. Nerul Railway Station,Phase-II, Nerul (W),Navi Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai","Plot No.1, Sector No. 08, Ghansoli , Navi Mumbai 400 701",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai","Sheel Kalyan Highway, Behind Venkatesh Petrolpump, Sonarpada, Manpada Post, Dombivali (E) Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03194,"Vidyavardhini's College of Engineering and Technology, Vasai","Vasai Road (W Rly), Tal: Vasai, District Palghar",Mumbai,Palghar,Un-Aided,Non-Autonomous,Non-Minority
03196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai","Sector - 4, Plot N0 17 & 18, Vikas Nagar, Koparkhairane, Navi Mumbai",Mumbai,Thane,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
03197,"Agnel Charities FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai","Sector 9-A,  Vashi, Navi Mumbai,",Mumbai,Thane,Un-Aided,Autonomous,Religious Minority - Christian
03198,"Konkan Gyanpeeth College of Engineering, Karjat","Vengaon Road, Dahivali, Karjat",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai","Plot No. U-15, J.V.P.D. Scheme, Bhaktivedanta Swami Marg, Vile Parle (West), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Gujarathi
