college_code,college_name,branch_id,branch_name,seat_type,category_code,percentile,is_tfws,is_ews
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,60.6237408,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,55.2318816,False,False
01005,"Sant Gadge Baba Amravati University,Amravati",0100552710,Petro Chemical Engineering,State Level,DEFOPENS,63.0759599,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Home University Seats Allotted to Home University Candidates,GOPENH,56.9588351,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Home University Seats Allotted to Home University Candidates,GSCH,47.4576949,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Home University Seats Allotted to Home University Candidates,GOBCH,55.2318816,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Home University Seats Allotted to Home University Candidates,LOPENH,72.3242844,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Home University Seats Allotted to Home University Candidates,LNT1H,29.3071786,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Home University Seats Allotted to Home University Candidates,PWDOPENH,59.8892661,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Home University Seats Allotted to Home University Candidates,GSEBCH,55.0733859,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Home University Seats Allotted to Home University Candidates,LSEBCH,54.0859766,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,71.3988776,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,65.4406319,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GNT2O,27.4048925,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,67.5033807,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,83.639399,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSEBCO,62.2534756,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,State Level,EWS,3.89399,False,True
