college_code,college_name,University
3192,"Smt. Indira Gandhi College of Engineering, Navi Mumbai",Mumbai University
3193,"Shivajirao S. Jondhale College of Engineering, Dombivali,Mumbai",Mumbai University
3194,"Vidyavardhini's College of Engineering and Technology, Vasai",Mumbai University
3196,"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mumbai University
3197,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",Mumbai University
3198,"Konkan Gyanpeeth College of Engineering, Karjat",Mumbai University
3199,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",Mumbai University
3200,"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri",Mumbai University
3201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",Mumbai University
3202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Mumbai University
3203,"Atharva College of Engineering,Malad(West),Mumbai",Mumbai University
3204,"St. Francis Institute of Technology,Borivali, Mumbai",Mumbai University
3206,"S.S.P.M.'s College of Engineering, Kankavli",Mumbai University
3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Mumbai University
3208,"Don Bosco Institute of Technology, Mumbai",Mumbai University
3209,K J Somaiya Institute of Technology,Mumbai University
3210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)",Mumbai University
3211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",Mumbai University
3212,"Watumull Institute of  Engineering & Technology, Ulhasnagar",Mumbai University
3214,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",Mumbai University
3215,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",Mumbai University
3216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri",Mumbai University
3217,"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",Mumbai University
3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Mumbai University
3219,"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur",Mumbai University
3220,Yadavrao Tasgaonkar College of Engineering & Management,Mumbai University
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Mumbai University
3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Mumbai University
3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Mumbai University
3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Mumbai University
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",Mumbai University
3277,Pravin Rohidas Patil College of Engineering & Technology,Mumbai University
3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Mumbai University
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat,  Mumbai",Mumbai University
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mumbai University
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Mumbai University
3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Mumbai University
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",Mumbai University
3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Mumbai University
3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Mumbai University
3460,"Universal College of Engineering,Kaman Dist. Palghar",Mumbai University
3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Mumbai University
3465,"Ideal Institute of Technology, Wada, Dist.Thane",Mumbai University
3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Mumbai University
3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Mumbai University
3471,"New Horizon Institute of Technology & Management, Thane",Mumbai University
3475,"A. P. Shah Institute of Technology, Thane",Mumbai University
3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Mumbai University
3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Mumbai University
3546,Devi Mahalaxmi College of Engineering and Technology,Mumbai University
4004,"Government College of Engineering, Chandrapur",Gondwana University
4025,"Government College of Engineering, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",Rashtrasant Tukadoji Maharaj Nagpur University
4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
