college_code,college_name,district
5173,"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,  (Jain Gurukul), Neminagar,Chandwad,(Nashik)",Nashik
5182,"Kalyani Charitable Trust, Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road, Nashik",Nashik
5390,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",Nashik
5399,"Sanghavi College of Engineering, Varvandi, Nashik.",Nashik
5401,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik.",Nashik
5244,"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Nashik
5151,"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",Nashik
5130,"Brahma Valley College of Engineering & Research, Trimbakeshwar, Nashik",Nashik
5125,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",Nashik
5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",Nashik
5256,"Matoshri Education Soceity, Matoshri Asarabai Polytechnic,Nashik",Nashik
5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",Nashik
5263,"Matoshri Education Soceity, Matoshri Institute Of Technology, Dhanore, Nashik",Nashik
5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",Nashik
5331,"Sandip Foundation's, Sandip Institute of Engineering & Management, Nashik",Nashik
5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",Nashik
5418,"Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Nashik
5177,"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",Nashik
5181,"Gokhale Education Society's, R.H. Sapat College of Engineering, Management Studies and Research, Nashik",Nashik
2146,"Adarsh Shikshan Prasarak Mandal's K. T. Patil College of Engineering and Technology, Osmanabad",Osmanabad
2130,"Terna Public Charitable Trust's College of Engineering, Osmanabad",Osmanabad
5370,"Kedareshwar Gramin Vikas Pratishthan, Samajbhushan Eknathrao Dhakane  College, of Engineering, Shevgaon",Other
5433,"R.C. Patel College of Engineering and Polytechnic, Shirpur",Other
1119,"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Other
1117,"Janata Shikshan Prasarak Mandal’s Babasaheb Naik College Of Engineering, Pusad",Other
1101,"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Other
5411,"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",Other
5545,"Shri. Vile Parle Kelwani Mandal's College of Engineering, Shirpur",Other
5513,"MKD Institute of Technology, Nadurbar",Other
5509,"Shri Swami Samarth Institute of Management and Technology, Malwadi-Bota",Other
5381,"Shri. Jaykumar Rawal Institute of Technology, Dondaicha.",Other
5408,"Vidya Niketan College of Engineering, Bota Sangamner",Other
2516,International Centre Of Excellence In Engineering  and Management (ICEEM),Other
6005,"Government College of Engineering, Karad",Other
6444,"Shriram Institute Of Engineering & Technology, (Poly), Paniv",Other
6466,"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",Other
6609,"Jaihind College Of Engineering,Kuran",Other
6625,"Universal College of Engineering & Research, Sasewadi",Other
6632,Navsahyadri Education Society's Group of Institutions,Other
6635,Samarth College of Engineering and Management,Other
6644,"Shri. Ambabai Talim Sanstha's Sanjay Bhokare Group of Institutes, Miraj",Other
6756,"Fabtech Technical Campus College of Engineering and Research, Sangola",Other
6781,"Bhagwant Institute of Technology, Barshi",Other
6782,"Sahakar Maharshee Shankarrao Mohite Patil Institute of Technology & Research, Akluj",Other
6795,"Shri.Someshwar Shikshan Prasarak Mandal, Sharadchandra Pawar College of Engineering & Technology, Someshwar Nagar",Other
6803,"Sant Gajanan Maharaj College of Engineering, Gadhinglaj",Other
6811,Sanjay Ghodawat Institute,Other
6815,"Vidya Prasarini Sabha's College of Engineering & Technology, Lonavala",Other
6822,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",Other
6834,"Dr.D.Y.Patil College Of Engineering & Innovation,Talegaon",Other
6901,"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",Other
