Rank,Percentile,Choice Code,Merit Exam
4149,95.0335946,0303651110,JEE(Main)-2024
3772,95.3846296,0303651210,JEE(Main)-2024
1571,97.6643351,0303653410,NEET-2024
1413,97.7758164,0303650710,JEE(Main)-2024
6058,93.2788198,0303651410,JEE(Main)-2024
3967,95.2020137,0303672910,JEE(Main)-2024
2259,96.9662187,0303653410,JEE(Main)-2024
1740,97.4490150,0303651910,JEE(Main)-2024
20625,79.9938634,0313537210,JEE(Main)-2024
11629,88.0726109,0313524610,JEE(Main)-2024
27325,73.8736469,0313561210,JEE(Main)-2024
8419,91.0576790,0313524510,JEE(Main)-2024
11877,87.8187154,0313599510,JEE(Main)-2024
24082,76.8179496,0313946110,JEE(Main)-2024
11147,88.5757175,0313937210,JEE(Main)-2024
9485,90.0729553,0313990010,JEE(Main)-2024
5573,93.7415056,0313924510,JEE(Main)-2024
7027,92.3810414,0313924610,JEE(Main)-2024
7874,91.5884494,0314324510,JEE(Main)-2024
9228,90.3004853,0314391110,JEE(Main)-2024
11176,88.5659516,0314384410,JEE(Main)-2024
24690,76.3280246,0314361210,JEE(Main)-2024
10332,89.2609183,0314324610,JEE(Main)-2024
33101,69.0529025,0314692010,JEE(Main)-2024
29114,72.4780171,0314624610,JEE(Main)-2024
35616,66.9185014,0314637210,JEE(Main)-2024
70982,35.3619737,0314661210,JEE(Main)-2024
32005,70.0821202,0314699510,JEE(Main)-2024
68862,37.9717565,0314629310,JEE(Main)-2024
24290,76.5791743,0314624510,JEE(Main)-2024
128043,67.0458361,0314761210,MHT-CET
44786,59.3903304,0314792110,JEE(Main)-2024
34476,67.8377823,0314724510,JEE(Main)-2024
43495,60.3847628,0314791710,JEE(Main)-2024
182720,13.0427194,0314729310,MHT-CET
43292,60.5916673,0314724610,JEE(Main)-2024
20313,80.2781689,0314837210,JEE(Main)-2024
11966,87.7580323,0314824610,JEE(Main)-2024
10547,89.0565174,0314824510,JEE(Main)-2024
17384,82.8318919,0314890010,JEE(Main)-2024
26354,74.7405584,0314893310,JEE(Main)-2024
23158,77.6558450,0314837810,JEE(Main)-2024
14579,85.4408860,0314825210,JEE(Main)-2024
9971,89.6205775,0314899510,JEE(Main)-2024
77340,28.0421799,0315461210,JEE(Main)-2024
29081,72.5289287,0315424610,JEE(Main)-2024
27517,73.7412359,0315491210,JEE(Main)-2024
23696,77.1915267,0315424510,JEE(Main)-2024
44489,59.6793493,0315460210,JEE(Main)-2024
152499,47.6302148,0315419110,MHT-CET
29694,71.9728478,0315491110,JEE(Main)-2024
