branch_id,college_code,branch_name
0314699510,03146,Artificial Intelligence and Data Science
0314719110,03147,Civil Engineering
0314724510,03147,Computer Engineering
0314724610,03147,Information Technology
0314729310,03147,Electrical Engineering
0314761210,03147,Mechanical Engineering
0314791710,03147,Data Science
0314792110,03147,Artificial Intelligence and Machine Learning
0314824510,03148,Computer Engineering
0314824610,03148,Information Technology
0314825210,03148,Cyber Security
0314837210,03148,Electronics and Telecommunication Engg
0314837810,03148,Electronics Engineering ( VLSI Design and Technology)
0314890010,03148,Electronics and Computer Science
0314893310,03148,Electronics and Communication (Advanced Communication Technology)
0314899510,03148,Artificial Intelligence and Data Science
0315419110,03154,Civil Engineering
0315424510,03154,Computer Engineering
0315424610,03154,Information Technology
0315460210,03154,Automobile Engineering
0315461210,03154,Mechanical Engineering
0315491110,03154,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0315491210,03154,Computer Science and Engineering(Data Science)
0317519110,03175,Civil Engineering
0317524510,03175,Computer Engineering
0317524610,03175,Information Technology
0317529310,03175,Electrical Engineering
0317537210,03175,Electronics and Telecommunication Engg
0317546110,03175,Bio Medical Engineering
0317550710,03175,Chemical Engineering
0317561210,03175,Mechanical Engineering
0317591110,03175,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0317591210,03175,Computer Science and Engineering(Data Science)
0317591610,03175,Automation and Robotics
0317619110,03176,Civil Engineering
0317624510,03176,Computer Engineering
0317624610,03176,Information Technology
0317625310,03176,Internet of Things (IoT)
0317625910,03176,Mechanical and Mechatronics Engineering (Additive Manufacturing)
0317637210,03176,Electronics and Telecommunication Engg
0317661210,03176,Mechanical Engineering
0317690010,03176,Electronics and Computer Science
0317691010,03176,Computer Science and Engineering(Cyber Security)
0317692110,03176,Artificial Intelligence and Machine Learning
0317699510,03176,Artificial Intelligence and Data Science
0318224510,03182,Computer Engineering
0318224610,03182,Information Technology
0318237210,03182,Electronics and Telecommunication Engg
0318250710,03182,Chemical Engineering
0318299510,03182,Artificial Intelligence and Data Science
0318319110,03183,Civil Engineering
0318324510,03183,Computer Engineering
0318324610,03183,Information Technology
0318337210,03183,Electronics and Telecommunication Engg
0318361210,03183,Mechanical Engineering
0318361610,03183,Mechanical Engineering Automobile
0318391110,03183,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0318392010,03183,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0318424210,03184,Computer Science and Engineering
0318424510,03184,Computer Engineering
0318461210,03184,Mechanical Engineering
0318490010,03184,Electronics and Computer Science
0318524510,03185,Computer Engineering
0318524610,03185,Information Technology
0318537210,03185,Electronics and Telecommunication Engg
0318590010,03185,Electronics and Computer Science
0318591610,03185,Automation and Robotics
0318599510,03185,Artificial Intelligence and Data Science
0318719110,03187,Civil Engineering
0318724510,03187,Computer Engineering
0318724610,03187,Information Technology
0318737210,03187,Electronics and Telecommunication Engg
0318750710,03187,Chemical Engineering
0318761210,03187,Mechanical Engineering
0318791810,03187,Civil and infrastructure Engineering
0318799510,03187,Artificial Intelligence and Data Science
0318824510,03188,Computer Engineering
0318824610,03188,Information Technology
0318862410,03188,Mechatronics Engineering
0318890010,03188,Electronics and Computer Science
0318891110,03188,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0318924510,03189,Computer Engineering
0318924610,03189,Information Technology
0318937210,03189,Electronics and Telecommunication Engg
0318946610,03189,Instrumentation Engineering
0318950710,03189,Chemical Engineering
0318961210,03189,Mechanical Engineering
0319019110,03190,Civil Engineering
0319024510,03190,Computer Engineering
0319024610,03190,Information Technology
0319026310,03190,Artificial Intelligence (AI) and Data Science
0319037210,03190,Electronics and Telecommunication Engg
0319037610,03190,Electronics Engineering
0319061210,03190,Mechanical Engineering
0319062410,03190,Mechatronics Engineering
0319224510,03192,Computer Engineering
0319229310,03192,Electrical Engineering
0319261210,03192,Mechanical Engineering
0319291110,03192,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0319292010,03192,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0319299510,03192,Artificial Intelligence and Data Science
0319324510,03193,Computer Engineering
0319324610,03193,Information Technology
0319337210,03193,Electronics and Telecommunication Engg
0319350710,03193,Chemical Engineering
0319361210,03193,Mechanical Engineering
0319392110,03193,Artificial Intelligence and Machine Learning
0319419110,03194,Civil Engineering
0319424510,03194,Computer Engineering
0319424610,03194,Information Technology
0319437210,03194,Electronics and Telecommunication Engg
0319437810,03194,Electronics Engineering ( VLSI Design and Technology)
0319461210,03194,Mechanical Engineering
0319491210,03194,Computer Science and Engineering(Data Science)
0319499510,03194,Artificial Intelligence and Data Science
0319624510,03196,Computer Engineering
0319629310,03196,Electrical Engineering
0319637210,03196,Electronics and Telecommunication Engg
0319661210,03196,Mechanical Engineering
0319691110,03196,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0319691210,03196,Computer Science and Engineering(Data Science)
0319692010,03196,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0319724510,03197,Computer Engineering
0319724610,03197,Information Technology
0319729310,03197,Electrical Engineering
0319737210,03197,Electronics and Telecommunication Engg
0319761210,03197,Mechanical Engineering
0319824210,03198,Computer Science and Engineering
0319824510,03198,Computer Engineering
0319824610,03198,Information Technology
0319861210,03198,Mechanical Engineering
0319899510,03198,Artificial Intelligence and Data Science
0319924510,03199,Computer Engineering
0319924610,03199,Information Technology
0319926310,03199,Artificial Intelligence (AI) and Data Science
0319937210,03199,Electronics and Telecommunication Engg
0319961210,03199,Mechanical Engineering
0319991210,03199,Computer Science and Engineering(Data Science)
0319992010,03199,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0319992110,03199,Artificial Intelligence and Machine Learning
0320024610,03200,Information Technology
0320029310,03200,Electrical Engineering
0320037210,03200,Electronics and Telecommunication Engg
0320050710,03200,Chemical Engineering
0320061210,03200,Mechanical Engineering
0320091010,03200,Computer Science and Engineering(Cyber Security)
0320091110,03200,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0320119110,03201,Civil Engineering
0320124510,03201,Computer Engineering
0320161210,03201,Mechanical Engineering
0320190010,03201,Electronics and Computer Science
0320199510,03201,Artificial Intelligence and Data Science
0320224510,03202,Computer Engineering
0320260210,03202,Automobile Engineering
0320290010,03202,Electronics and Computer Science
0320324510,03203,Computer Engineering
0320324610,03203,Information Technology
0320329310,03203,Electrical Engineering
0320337210,03203,Electronics and Telecommunication Engg
0320390010,03203,Electronics and Computer Science
0320424510,03204,Computer Engineering
0320424610,03204,Information Technology
0320429310,03204,Electrical Engineering
0320437210,03204,Electronics and Telecommunication Engg
0320461210,03204,Mechanical Engineering
0320490010,03204,Electronics and Computer Science
0320492110,03204,Artificial Intelligence and Machine Learning
0320624510,03206,Computer Engineering
0320629310,03206,Electrical Engineering
0320656610,03206,Computer Science
0320661210,03206,Mechanical Engineering
0320690010,03206,Electronics and Computer Science
0320691110,03206,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0320724510,03207,Computer Engineering
0320724610,03207,Information Technology
0320737210,03207,Electronics and Telecommunication Engg
0320760210,03207,Automobile Engineering
0320761210,03207,Mechanical Engineering
0320790010,03207,Electronics and Computer Science
0320824510,03208,Computer Engineering
0320824610,03208,Information Technology
0320837210,03208,Electronics and Telecommunication Engg
0320861210,03208,Mechanical Engineering
0320924510,03209,Computer Engineering
0320924610,03209,Information Technology
0320937210,03209,Electronics and Telecommunication Engg
0320999510,03209,Artificial Intelligence and Data Science
0321024510,03210,Computer Engineering
0321024610,03210,Information Technology
0321037210,03210,Electronics and Telecommunication Engg
0321124510,03211,Computer Engineering
0321124610,03211,Information Technology
0321137210,03211,Electronics and Telecommunication Engg
0321190010,03211,Electronics and Computer Science
0321192010,03211,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0321192110,03211,Artificial Intelligence and Machine Learning
0321199510,03211,Artificial Intelligence and Data Science
0321219110,03212,Civil Engineering
0321224510,03212,Computer Engineering
0321424510,03214,Computer Engineering
0321424610,03214,Information Technology
0321437210,03214,Electronics and Telecommunication Engg
0321492010,03214,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0321524210,03215,Computer Science and Engineering
0321524510,03215,Computer Engineering
0321537210,03215,Electronics and Telecommunication Engg
0321619110,03216,Civil Engineering
0321624510,03216,Computer Engineering
0321637210,03216,Electronics and Telecommunication Engg
0321650710,03216,Chemical Engineering
0321661210,03216,Mechanical Engineering
0321691110,03216,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0321719110,03217,Civil Engineering
0321724510,03217,Computer Engineering
0321737210,03217,Electronics and Telecommunication Engg
0321761210,03217,Mechanical Engineering
0321791610,03217,Automation and Robotics
0321819110,03218,Civil Engineering
0321824510,03218,Computer Engineering
0321824610,03218,Information Technology
0321861210,03218,Mechanical Engineering
0321890010,03218,Electronics and Computer Science
0321891210,03218,Computer Science and Engineering(Data Science)
0321892110,03218,Artificial Intelligence and Machine Learning
0321924510,03219,Computer Engineering
0321924610,03219,Information Technology
0321929310,03219,Electrical Engineering
0321937210,03219,Electronics and Telecommunication Engg
0321991110,03219,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0322024510,03220,Computer Engineering
0322024610,03220,Information Technology
0322025210,03220,Cyber Security
0322037210,03220,Electronics and Telecommunication Engg
0322092110,03220,Artificial Intelligence and Machine Learning
0322119110,03221,Civil Engineering
0322124510,03221,Computer Engineering
0322137210,03221,Electronics and Telecommunication Engg
0322161210,03221,Mechanical Engineering
0322191110,03221,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0322192610,03221,Electrical and Computer Engineering
0322219110,03222,Civil Engineering
0322224510,03222,Computer Engineering
0322224610,03222,Information Technology
0322229310,03222,Electrical Engineering
0322260210,03222,Automobile Engineering
0322261210,03222,Mechanical Engineering
0322291110,03222,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0322319110,03223,Civil Engineering
0322324510,03223,Computer Engineering
0322324610,03223,Information Technology
0322361210,03223,Mechanical Engineering
0322390010,03223,Electronics and Computer Science
0322392610,03223,Electrical and Computer Engineering
0322424510,03224,Computer Engineering
0322491110,03224,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0322492010,03224,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0325724510,03257,Computer Engineering
0325724610,03257,Information Technology
0325729310,03257,Electrical Engineering
0325737210,03257,Electronics and Telecommunication Engg
0325791610,03257,Automation and Robotics
0327724510,03277,Computer Engineering
0327724610,03277,Information Technology
0327735610,03277,Electrical Engg[Electronics and Power]
0327761510,03277,Mechanical & Automation Engineering
0327793510,03277,Electronics and Biomedical Engineering
0335119110,03351,Civil Engineering
0335124510,03351,Computer Engineering
0335156810,03351,Computer Science and Information Technology
0335161210,03351,Mechanical Engineering
0335191110,03351,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0335191210,03351,Computer Science and Engineering(Data Science)
0335324510,03353,Computer Engineering
0335324610,03353,Information Technology
0335329310,03353,Electrical Engineering
0335392010,03353,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0335392110,03353,Artificial Intelligence and Machine Learning
0342319110,03423,Civil Engineering
0342324510,03423,Computer Engineering
0342324610,03423,Information Technology
0342337210,03423,Electronics and Telecommunication Engg
0342361210,03423,Mechanical Engineering
0342390010,03423,Electronics and Computer Science
0343624510,03436,Computer Engineering
0343624610,03436,Information Technology
0343629310,03436,Electrical Engineering
0343690010,03436,Electronics and Computer Science
0343691110,03436,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0343919110,03439,Civil Engineering
0343924510,03439,Computer Engineering
0343961210,03439,Mechanical Engineering
0343990010,03439,Electronics and Computer Science
0343991110,03439,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0343991210,03439,Computer Science and Engineering(Data Science)
0343992610,03439,Electrical and Computer Engineering
0344024510,03440,Computer Engineering
0344524510,03445,Computer Engineering
0344537210,03445,Electronics and Telecommunication Engg
0344592010,03445,Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain
0344592110,03445,Artificial Intelligence and Machine Learning
0344724510,03447,Computer Engineering
0346019110,03460,Civil Engineering
0346024510,03460,Computer Engineering
0346024610,03460,Information Technology
0346092110,03460,Artificial Intelligence and Machine Learning
0346092410,03460,Data Engineering
0346224510,03462,Computer Engineering
0346246610,03462,Instrumentation Engineering
0346284410,03462,Electronics and Computer Engineering
0346524210,03465,Computer Science and Engineering
0346529310,03465,Electrical Engineering
0346537210,03465,Electronics and Telecommunication Engg
0346561210,03465,Mechanical Engineering
0346719110,03467,Civil Engineering
0346724510,03467,Computer Engineering
0346729310,03467,Electrical Engineering
0346737210,03467,Electronics and Telecommunication Engg
0346761210,03467,Mechanical Engineering
0346791110,03467,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0347024210,03470,Computer Science and Engineering
0347024510,03470,Computer Engineering
0347029310,03470,Electrical Engineering
0347061210,03470,Mechanical Engineering
0347119110,03471,Civil Engineering
0347124510,03471,Computer Engineering
0347125710,03471,Computer Science and Design
0347161210,03471,Mechanical Engineering
0347162410,03471,Mechatronics Engineering
0347199510,03471,Artificial Intelligence and Data Science
0347519110,03475,Civil Engineering
0347524510,03475,Computer Engineering
0347524610,03475,Information Technology
0347561210,03475,Mechanical Engineering
0347591110,03475,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0347591210,03475,Computer Science and Engineering(Data Science)
0347719110,03477,Civil Engineering
0347724510,03477,Computer Engineering
0347761210,03477,Mechanical Engineering
0350319110,03503,Civil Engineering
0350324510,03503,Computer Engineering
0350324610,03503,Information Technology
